Fuente,Opinion,Fecha,Etiqueta
Facebook,"hay que adaptarnos al presente, agilizar las tareas de antes. por algo crean herramientas ai de apoyo para agilizar trabajos, etc. simplemente hay que saber utilizarlo para un buen beneficio, para aprender mas, mas no solo copiar y pegar, si no hacer valer tus ideas en conjunto y fusion con la tecnologia. asi que no hay nada de malo en aprender a utilizar dichas herramientas que por algo fueron creadas por los informaticos. les animo a que sigan utilizando para el beneficio de uno mismo. no hay que quedarse estancados en el pasado si no mas bien enfocar la vision hacia el futuro. este es el futuro de la humanidad en conjunto con la tecnologia. a quien no le ha facilitado una herramienta tecnologica?. aquellos que lo han utilizado.",6/12/2026,2
X,yo creo que en el futuro los profesores seran reemplazados por tutores virtuales con ia,7/26/2026,0
X,siento que estamos en una transicion importante y la educacion tiene que cambiar si o si,7/27/2026,0
X,"muchos aprueban materias copiando todo, lo cual devalua el esfuerzo de los estudiantes que si investigan",7/30/2026,1
TikTok,"copiar y pegar de la ia no te hace aprender nada, solo te enganas a ti mismo como estudiante",7/25/2026,1
Facebook,muy cierto muchos de los abanderados utilizaron la ia. simplemente escuche de mi hija decir. .. prefiero sacarme mis notas segun mi capacidad y no aprentar la mejor y despues bo patunar en la universidad,6/26/2026,2
Facebook,"tecnologia cifras ecuador, el 64 de los estudiantes ya utiliza inteligencia artificial en sus actividades academicas y ocho de cada diez lo hace al menos una vez por semana, segun un informe global de pearson elaborado con la opinion de mas de 1.000 docentes de colegios, institutos y universidades de distintos paises.",7/17/2026,2
Facebook,las universidades deberian actualizar sus reglamentos para definir claramente que es plagio con ia y que no,7/20/2026,1
Facebook,"yo lo utilizo para aprender ascentos idiomas cocina vocabulario y escritura es una herramienta poderosa que si lo utilizas de una buena forma te sirve para todo,saludos",7/5/2026,2
TikTok,chat jpt se graduo ante des estudiantes del promo 2025,7/26/2026,1
Facebook,"en todo el mundo es asi, antes de que exista la ia muchas veces pasaba que de dos tareas se copiaban todo el curso.",7/19/2026,0
X,mis amigas gracias a la inteligencia artificial lograron pasar el ano y yo tambien doy gracias a chat gpt y a otras aplicaciones,6/27/2026,2
Facebook,"pero para copiar deberes, no para desarrollar nuevas tecnologias.",7/26/2026,0
X,la mayoria de profesores la usan para el diseno de las tareas. incluso en los enunciados de los tareas suele ir por accidente parte de la chat con chatgpt,7/27/2026,0
X,puro copia y pega y nada de razonamiento,7/9/2026,0
Facebook,"es una tecnologia en transicion, nos toca adaptarnos pero manteniendo siempre un pensamiento critico",6/24/2026,0
Facebook,me gustaria ver plataformas educativas hechas en ecuador con ia integrada,7/24/2026,0
X,"chatgpt me salvo el semestre en programacion, la verdad explica mejor que el docente",7/16/2026,2
TikTok,muchos estudiantes se estan volviendo perezosos por culpa de estas herramientas,7/12/2026,0
X,"de acuerdo con el estudio, el 60 de los estudiantes usa estas herramientas para aclarar dudas, el 51 para corregir o editar textos y el 48 para resolver tareas escolares directamente.",7/23/2026,0
Facebook,la universidad tecnica de manabi ya tiene grupos de investigacion sobre esto,7/30/2026,0
Facebook,el impacto de la inteligencia artificial en la educacion superior es innegable,7/13/2026,0
TikTok,por eso estamos como estamos con gente que ya no razona por si misma sino que le ayudan a pensar...un claro ejemplo daniel noboa azin,7/19/2026,2
TikTok,si no sabes usar inteligencia artificial te vas a quedar atras en el mercado laboral,7/20/2026,0
Facebook,"ya no usan el cerebro para pensar, solo sus manos para copiar.",7/14/2026,1
Facebook,estoy aprendiendo machine learning porque veo que es el futuro de mi carrera,7/19/2026,2
Facebook,los profesores deberian ensenarnos a usar la ia de forma etica en lugar de prohibirla,7/20/2026,2
X,yo uso ia si se las respuestas mas que esos que estudiaron tantos anos en la universidad .,7/26/2026,0
TikTok,el resultado de que importe mas una nota que el conocimiento que adquiere el estudiante,7/19/2026,0
Facebook,copia y pega hoy en dia hasta los maestros les dan las paginas donde busquen informacion para que copien y peguen ya estan los trabajos hechos,6/4/2026,1
Facebook,"j ya que los profesores no explican bien, toca acudir ala inteligencia artificial y asi poder entender de una manera muy factible y eficaz, por que hay docentes que explican bien para algunos estudiantes y otros no, y eso es el problema en algunas, hay que sacar provecho del provecho de lo que nos ofrece la vida. algunas examenes me va bien cuando me preparo de esta forma. eso es sacarle provecho.",6/14/2026,0
Facebook,en la universidad central ya prohibieron usar chatgpt en las pruebas virtuales,6/28/2026,0
Facebook,la ia es un excelente apoyo para entender algoritmos complejos de programacion a bajo nivel,6/29/2026,2
TikTok,"nota hecha con inteligencia artificial . poca broma, creo que los unicos que no usan son los que no tienen acceso a un dispositivo o francamente no la conocen",7/29/2026,0
Facebook,y luego d que se graduan no saben nada,7/1/2026,1
TikTok,la educacion virtual con apoyo de ia seria la solucion para muchos que trabajamos,6/28/2026,2
TikTok,pero si los mismos profesores crean tareas con la ia j,7/19/2026,0
Facebook,¿donde esta lo malo? no creen que es mejor orientar a los estudiantes en la etica en el uso de ia.,7/8/2026,1
TikTok,"no se puede prohibir el uso de las tecnologias, se debe orientar el uso etico de las mismas.",7/24/2026,0
Facebook,"tecnologia cifras ecuador, la mayoria de los estudiantes ya utiliza inteligencia artificial en sus actividades academicas y ocho de cada diez lo hace al menos una vez por semana, segun un informe global de pearson elaborado con la opinion de mas de 1.000 docentes de colegios, institutos y universidades de distintos paises. de acuerdo con el estudio, el 60 de los estudiantes usa estas herramientas para aclarar dudas, el 51 para corregir o editar textos y el 48 para resolver tareas escolares directamente. para mas detalles visita httpswww.expresatems.com",7/9/2026,2
TikTok,por eso los talleres y tareas deben hacerse dentro de aula de clase,6/7/2026,0
Facebook,"los docentes tienen que actualizarse, muchos ni siquiera saben que es chatgpt",7/30/2026,0
TikTok,"ya deben entrar de lleno en esta nueva tecnologia los estudiantes y profesores, el futuro ya esta aqui",6/10/2026,2
Facebook,me parece injusto que algunos saquen buenas notas solo por saber pedirle cosas a la ia,7/9/2026,1
Facebook,el debate deberia centrarse en como cambiar los metodos de evaluacion mas que en prohibir la tecnologia,7/11/2026,0
X,y que porcentaje de profesores sabe usarla para guiar a los estudiantes.,7/27/2026,0
X,"deberian incluir la ia en la ensenanza tambien, como usarla, que limites tiene por que la ia no puede hacer todo, aun esta en fase de aprendizaje y necesita de material en internet del que alimentarse para tomar de referencia, aun no puede crear cosas originales, que los chicos sepan lo que es derechos de autoria, todo eso puede ser parte de una clase",6/30/2026,0
Facebook,el problema de abusar de la inteligencia artificial es que te genera un codigo espagueti que luego nadie entiende,7/13/2026,0
X,"deberian dar licencias de github copilot a todos los estudiantes de ingenieria, es el futuro",7/5/2026,2
Facebook,"prohibir su uso es imposible, pero el plagio descarado me parece una falta de respeto al docente",7/14/2026,1
Facebook,no pasa nada yo me aliara con chatgpt en la educacion creando mejores filtros para detectar si el trabajo es del estudiante o es generado y preguntarle si sabe respecto del tema como tal,7/24/2026,0
X,"la tecnologia debe ser un apoyo, no un reemplazo del esfuerzo del estudiante",6/10/2026,2
TikTok,la ia es un salto gigantesco y la educacion se tiene que acoplar a ello.,6/12/2026,2
Facebook,la inteligencia artificial deberia ser una materia obligatoria en todas las carreras de ingenieria,6/29/2026,2
X,"es indispensable hoy en dia, los que saben integrar ia en sus desarrollos tendran mejores oportunidades",6/13/2026,0
Facebook,a mi con 6 de ia ya tengo 3 en la tarea mi universidad exagera vuelta,7/13/2026,0
Facebook,"si ahora algunos licenciados ni siquiera dan la clase por esa razon nos toca buscar al la ia eso nos ayuda a ver el tema de que se trata ,en los semipresencial nos ayuda de mucho.",7/9/2026,2
TikTok,la ia es buena tienen que ensenarle a investigar y leer,6/19/2026,0
Facebook,"que manera, dejan la inteligencia artificial tranquila a los estudiantes y docentes nos sirve de mucho y ahorra tiempo!",7/23/2026,0
Facebook,"en mi universidad, cuando nos mandan a consultar debe ser netamente de articulos cientificos, ia no vale aqui",7/20/2026,0
Facebook,cuando se invento la calculadora tambien decian que era hacer trampa,7/23/2026,1
Facebook,"en una educacion donde el profesional peor pagado es el docente, lo que menos se puede esperar es una educacion de calidad",7/26/2026,0
TikTok,es increible como la inteligencia artificial puede resumir un pdf de 100 paginas en segundos,6/26/2026,2
Facebook,en mi tiempo te mandaban a leer un poco de libros para hacer los deberes...,7/29/2026,0
TikTok,la inteligencia artificial me ayudo a prepararme para el examen de ingreso,7/1/2026,0
Facebook,mi profesor tambien usa para hacer las tareas,6/8/2026,0
TikTok,"hacer trampa ahora es mas facil, pero a la larga el perjudicado es el estudiante",7/31/2026,1
X,"los trabajos se deben hacer en tiempo real para que sean aplicables y la ia podria ser una guia, resulta que muchas veces los profesores no saben explicar bien al estudiante y por eso recurre a la tecnologia, entonces si le envias a investigar y con eso lo pones en practica donde puedas evaluar el nivel conocimiento podras darte cuenta quien si investigo y esta interesado en avanzar, ejemplo vamos a trabajar en la tabla periodica, mediante maquetas hechas por ellos mismo en las aulas, revisando la informacion y luego exponiendo la asimilacion de la informacion, casa los enviaria a reforzar lo aprendido. asi la ia te de masticado, tu en clases le ensenazas a buscar la bibliografia del contenido y veracidad del mismo.",6/20/2026,0
TikTok,muchos aprueban materias de desarrollo web solo pidiendole a la maquina que les arme toda la pagina,7/10/2026,0
TikTok,osea no es malo la ia lo preocupante es que ya ni siquiera quieran aprender lo que consultan a la ia,7/20/2026,1
X,"en nuestra universidad ha dicho que se use como guia pero no se puede hacer solo copia, y para eso todo trabajo es pasado por plagio",6/27/2026,1
Facebook,"ni tan buena ni tan mala, simplemente es una herramienta mas que tenemos que aprender a manejar",6/15/2026,0
Facebook,los de la universidad dicen que no quieren trabajos con ia pero como lo detectan con otra ia....no deberian pelear con la ia es la peor estupidez...lo malo es copiar y pegar...pero la ahi sabiendolo usar es una buena herramienta...ahorra tiempo y es precesisa...,6/20/2026,1
X,"dejen en paz a los estudiantes, estos buscan la manera como joder a los estudiantes ...",7/4/2026,0
X,usar inteligencia artificial no es trampa si la usas como asistente y no para que haga todo,7/9/2026,1
Facebook,"mientras no sustituya el proceso de aprendizaje, me parece una adicion interesante a las aulas",6/25/2026,0
Facebook,si los profesores tambien lo usan para hacer proyectos a los estudiantes,6/30/2026,0
TikTok,la inteligencia artificial es como tener un tutor privado 24/7,7/12/2026,0
X,ensenen a usar de buena manera la ia en vez de andar llorando porque la usan,7/14/2026,2
Facebook,si pagas la version plus de chatgpt tienes mucha mas ventaja que el resto de estudiantes,7/1/2026,2
X,hay que aprender a curar el contenido que nos da la inteligencia artificial,7/15/2026,0
X,en mi tesis detectaron 20% de ia y casi me anulan el trabajo de titulacion,7/16/2026,0
TikTok,que sucede en el caso de que las mismas autoridades del colegio no brinden las sanciones pertinentes a los estudiantes cuando un profesor identifica el plagio? mejor sancionan al profesor que al estudiantes,7/19/2026,1
TikTok,"pienso que no es malo usarlo, malo es como lo usas, por ejemplo para una informacion no vas a copiar y pegar, creo que ayuda mucho como para tener una idea una base de como realizar trabajos mas no es un ambito investigativo. siempre es bueno libros, articulos cientificos, revista para una informacion mas actualizada.",7/26/2026,2
Facebook,"en un futuro no se necesitaran docentes, al menos en los colegios",7/15/2026,0
Facebook,"es perjudicial para carreras tecnicas, un ingeniero de software tiene que saber pensar, no solo hacer prompts",7/16/2026,0
X,la inteligencia artificial permite que nos enfoquemos en la logica de negocio y no tanto en el codigo repetitivo,7/17/2026,0
Facebook,"si copias y pegas de chatgpt se nota a leguas, hay que saber usar los prompts",7/18/2026,0
TikTok,"no se si vi bien pero en china incluyeron una materia de ia a los ninos, porque en lugar de restringir no ensenan a optimizar los recursos que tenemos y como usarla para crear mejores cosas. en un futuro hacer las cosas por uno mismo ya sera ambiguo",7/31/2026,2
Facebook,el senescyt deberia regular el uso de herramientas de inteligencia artificial,6/18/2026,0
X,ahora cualquier estudiante puede programar cosas complejas con la ayuda de copilot,7/19/2026,2
TikTok,"fomenta la pereza mental enorme, prefieren copiar y pegar en lugar de entender el por que del error",7/29/2026,1
Facebook,"yo, en mi caso, uso a la inteligencia artificial, como una herramienta de estudio, y ingenieria ha resultado muy util para reforzar temas que no he comprendido, y en mi caso, si la uso para hacer deberes, pero entendiendo mejor y analizando los problemas resueltos",6/21/2026,2
Facebook,lo acepto hago las pruebas y deberes con ia en la universidad v,7/21/2026,0
TikTok,"los detectores de plagio fallan mucho, a veces marcan como ia textos que uno mismo escribe",7/11/2026,1
Facebook,"si no nos dicen no nos dabamos cuenta aqui el punto es que los maestros deben estar capacitados para poder mejorar su metodo de estudio ellos deben acoplarse y buscar maneras de que sea mas didactico el aprendizaje, hay docentes que no saben ni dr una clase, peor van a poder controlar el uso de ia y lo peor de todo es que cuando se les dice que su metodo es obsoleto y no se aprende se ofenden.",7/31/2026,2
Facebook,el otro dia el profesor nos mando un deber que el mismo genero con chatgpt,7/1/2026,0
TikTok,"en la elaboracion de informes tecnicos, la inteligencia artificial optimiza la redaccion y ahorra horas",7/21/2026,2
X,la tecnologia se crea para hacer la vida mas facil y una universidad si sabe como utilizar es la universidad laq esta fallando,7/24/2026,2
TikTok,el uso de la tecnologia en este caso la ia no tiene la culpa la culpa tiene la educacion por que se valora mas la nota que la comprension de las tareas. por eso se busca informacion que sea veridica y se presente y no importa si se aprendio o no!,7/31/2026,0
Facebook,las aulas virtuales deberian tener un chat de ia integrado para consultas rapidas,7/11/2026,0
X,"el impacto es relativo, ayuda en tareas repetitivas pero no puede reemplazar el razonamiento humano",7/18/2026,2
Facebook,"los estudiantes de primeros semestres ya no desarrollan logica de programacion, le piden todo a la ia",7/14/2026,0
Facebook,"las universidades publicas en ecuador no tienen ni buen internet, peor para implementar ia",7/16/2026,0
Facebook,me asusta un poco que la tecnologia avance tan rapido y las universidades sigan igual,7/18/2026,0
TikTok,es increible como la ia me ayuda a encontrar errores de sintaxis en c++ en cuestion de segundos,7/22/2026,2
Facebook,valovely no puede ser estos muchachos de ahora solo utilizan chat gpt para resolver sus deberes estamos perdidos,7/23/2026,0
Facebook,osea es bueno la inteligencia artificial pero no es recomendable ya que no aprendes nada y te quedas con vacios,6/28/2026,2
Facebook,un docente lo utiliza de forma controlada pero un estudiante solo lo hace por cumplir y copiar no tiene sentido que por lo menos a nivel de bachillerato se le de uso a la ia,7/5/2026,2
TikTok,yo tenia un profesor que una vez le pregunte como se resolvia algo y me dijo que busquemos en ia que gracias a la inteligencia de las personas ahora tenemos esa tecnologia,7/22/2026,0
Facebook,en la utm los profesores ya estan usando detectores de ia para los deberes,7/8/2026,0
Facebook,"no esta mal usar ia para hacer trabajos, lo que esta mal y es no darle un buen uso y tecnicamente solo usarla para cometer plagios o cosas por el estilo",7/18/2026,1
X,la investigacion tendria que ser legal ya que al final nunca vas a saber nada sin investigar y con ejemplos,7/21/2026,0
X,los estudiantes que sabemos usar estas herramientas de ia bien tenemos ventaja en el mercado laboral,7/31/2026,2
TikTok,gracias a estas herramientas de ia entiendo mejor los ejercicios de derecho que antes se me complicaban,7/29/2026,2
TikTok,"no entiendo por que algunos profesores de la ESPOL siguen prohibiendo Copilot, es el futuro",7/19/2026,2
TikTok,deberian ensenarnos a usar ChatGPT de forma etica en vez de prohibirla en la PUCE,7/22/2026,2
Facebook,"es innegable que los chatbots de ia agiliza el trabajo, el problema es solo de quienes abusan",7/12/2026,2
Facebook,estas herramientas de ia me explica mejor los conceptos de fisica que algunos docentes,7/22/2026,2
Facebook,usar Claude para practicar diseno grafico fuera de clase me ha subido el promedio,7/24/2026,2
X,los que sabemos aprovechar estas herramientas de ia en ingles tecnico le llevamos ventaja al resto,7/27/2026,2
TikTok,los que sabemos aprovechar DeepSeek en marketing le llevamos ventaja al resto,6/6/2026,2
X,el que rechaza Gemini de plano se esta quedando atras en marketing,6/6/2026,2
Facebook,"si se usa con criterio, DeepSeek potencia el aprendizaje en vez de reemplazarlo",7/7/2026,2
TikTok,DeepSeek democratiza el acceso a explicaciones claras que antes solo daban tutorias caras,6/27/2026,2
TikTok,"no hay nada malo en usar DeepSeek, lo importante es entender lo que uno hace",7/18/2026,2
TikTok,"no entiendo por que algunos profesores de la Universidad Catolica de Santiago de Guayaquil siguen prohibiendo los chatbots de ia, es el futuro",7/25/2026,2
Facebook,uso Copilot como tutor personal las 24 horas y he mejorado bastante en derecho,7/8/2026,2
X,usar Copilot en electronica me ha ayudado muchisimo a entender mejor los temas dificiles,6/8/2026,2
Facebook,"no entiendo por que algunos profesores de la Universidad Catolica de Santiago de Guayaquil siguen prohibiendo Claude, es el futuro",7/15/2026,2
TikTok,usar estas herramientas de ia en quimica me ha ayudado muchisimo a entender mejor los temas dificiles,7/30/2026,2
TikTok,deberian ensenarnos a usar DeepSeek de forma etica en vez de prohibirla en la ESPE,7/15/2026,2
X,en la Universidad Nacional de Loja varios companeros usamos ChatGPT para organizar mejor nuestros proyectos de medicina,6/15/2026,2
TikTok,gracias a estas herramientas de ia entiendo mejor los ejercicios de enfermeria que antes se me complicaban,7/17/2026,2
TikTok,los que sabemos aprovechar Copilot en medicina le llevamos ventaja al resto,7/27/2026,2
TikTok,"si se usa con criterio, ChatGPT potencia el aprendizaje en vez de reemplazarlo",7/27/2026,2
X,Gemini es una excelente herramienta de apoyo siempre que se use con responsabilidad,6/18/2026,2
Facebook,creo que la UTM deberia integrar Copilot de forma oficial en las clases de programacion,7/20/2026,2
TikTok,usar Claude para practicar ingles tecnico fuera de clase me ha subido el promedio,7/13/2026,2
X,creo que la ESPOL deberia integrar estas herramientas de ia de forma oficial en las clases de estadistica,6/28/2026,2
X,aprender a usar bien ChatGPT deberia ser parte del pensum en la Universidad Nacional de Loja,7/8/2026,2
Facebook,"no entiendo por que algunos profesores de la Universidad de las Fuerzas Armadas siguen prohibiendo Copilot, es el futuro",7/22/2026,2
TikTok,Claude es una excelente herramienta de apoyo siempre que se use con responsabilidad,7/23/2026,2
X,"con DeepSeek puedo revisar mis errores de derecho al instante, aprendo mas rapido asi",7/29/2026,2
TikTok,usar Copilot en ingles tecnico me ha ayudado muchisimo a entender mejor los temas dificiles,7/30/2026,2
TikTok,gracias a Claude pude terminar mi proyecto de contabilidad a tiempo y aprendiendo en el proceso,7/4/2026,2
Facebook,usar los chatbots de ia en redaccion academica me ha ayudado muchisimo a entender mejor los temas dificiles,7/29/2026,2
TikTok,los docentes de la Universidad Nacional de Loja que usan ChatGPT para preparar sus clases avanzan mas rapido,7/25/2026,2
TikTok,aprender a usar bien Claude deberia ser parte del pensum en la Universidad de Guayaquil,6/15/2026,2
Facebook,Gemini me ayudo a prepararme mejor para el examen de redaccion academica,7/30/2026,2
TikTok,Copilot deberia estar disponible gratis para todos los estudiantes de la Universidad de Guayaquil,7/15/2026,2
X,gracias a ChatGPT pude terminar mi proyecto de enfermeria a tiempo y aprendiendo en el proceso,6/6/2026,2
X,estas herramientas de ia me explica mejor los conceptos de redaccion academica que algunos docentes,6/16/2026,2
TikTok,deberian ensenarnos a usar ChatGPT de forma etica en vez de prohibirla en la ESPE,7/25/2026,2
Facebook,DeepSeek me explica mejor los conceptos de fisica que algunos docentes,7/31/2026,2
TikTok,gracias a Copilot pude terminar mi proyecto de psicologia a tiempo y aprendiendo en el proceso,7/14/2026,2
TikTok,los chatbots de ia democratiza el acceso a explicaciones claras que antes solo daban tutorias caras,7/28/2026,2
TikTok,definitivamente la ESPOL deberia ofrecer capacitaciones sobre el uso correcto de estas herramientas de ia,7/21/2026,2
X,los chatbots de ia deberia estar disponible gratis para todos los estudiantes de la Universidad Central,6/21/2026,2
Facebook,uso los chatbots de ia como tutor personal las 24 horas y he mejorado bastante en marketing,7/22/2026,2
TikTok,estas herramientas de ia es una excelente herramienta de apoyo siempre que se use con responsabilidad,7/5/2026,2
Facebook,usar DeepSeek en redaccion academica me ha ayudado muchisimo a entender mejor los temas dificiles,7/25/2026,2
TikTok,Claude democratiza el acceso a explicaciones claras que antes solo daban tutorias caras,7/8/2026,2
TikTok,"no hay nada malo en usar los chatbots de ia, lo importante es entender lo que uno hace",7/11/2026,2
Facebook,uso los chatbots de ia como tutor personal las 24 horas y he mejorado bastante en programacion,7/27/2026,2
TikTok,"no entiendo por que algunos profesores de la Universidad de Guayaquil siguen prohibiendo Copilot, es el futuro",7/27/2026,2
TikTok,Claude deberia estar disponible gratis para todos los estudiantes de la Universidad de Cuenca,7/22/2026,2
TikTok,ChatGPT es una excelente herramienta de apoyo siempre que se use con responsabilidad,7/23/2026,2
X,en la PUCE varios companeros usamos DeepSeek para organizar mejor nuestros proyectos de bases de datos,6/26/2026,2
Facebook,deberian ensenarnos a usar ChatGPT de forma etica en vez de prohibirla en la UTPL,6/4/2026,2
Facebook,definitivamente la Universidad de Guayaquil deberia ofrecer capacitaciones sobre el uso correcto de estas herramientas de ia,7/4/2026,2
Facebook,los estudiantes que sabemos usar Claude bien tenemos ventaja en el mercado laboral,7/7/2026,2
TikTok,creo que la UTPL deberia integrar DeepSeek de forma oficial en las clases de electronica,7/30/2026,2
Facebook,creo que la Universidad Catolica de Santiago de Guayaquil deberia integrar Claude de forma oficial en las clases de marketing,7/8/2026,2
Facebook,uso Copilot como tutor personal las 24 horas y he mejorado bastante en enfermeria,7/22/2026,2
X,definitivamente la Universidad de las Fuerzas Armadas deberia ofrecer capacitaciones sobre el uso correcto de Gemini,6/28/2026,2
TikTok,usar Gemini para practicar mineria de datos fuera de clase me ha subido el promedio,6/20/2026,2
TikTok,uso Gemini como tutor personal las 24 horas y he mejorado bastante en programacion,7/20/2026,2
X,gracias a Claude entiendo mejor los ejercicios de ingles tecnico que antes se me complicaban,6/30/2026,2
Facebook,"no hay nada malo en usar Gemini, lo importante es entender lo que uno hace",6/6/2026,2
TikTok,ChatGPT democratiza el acceso a explicaciones claras que antes solo daban tutorias caras,7/27/2026,2
Facebook,aprender a usar bien los chatbots de ia deberia ser parte del pensum en la Universidad de las Fuerzas Armadas,6/8/2026,2
TikTok,"con estas herramientas de ia puedo revisar mis errores de fisica al instante, aprendo mas rapido asi",6/6/2026,2
X,en la UTM varios companeros usamos Claude para organizar mejor nuestros proyectos de estadistica,7/1/2026,2
X,"es innegable que DeepSeek agiliza el trabajo, el problema es solo de quienes abusan",7/4/2026,2
X,los estudiantes que sabemos usar DeepSeek bien tenemos ventaja en el mercado laboral,7/6/2026,2
Facebook,los docentes de la Universidad de Guayaquil que usan estas herramientas de ia para preparar sus clases avanzan mas rapido,6/22/2026,2
TikTok,aprender a usar bien Copilot deberia ser parte del pensum en la ESPOL,6/11/2026,2
Facebook,"es innegable que Copilot agiliza el trabajo, el problema es solo de quienes abusan",6/27/2026,2
Facebook,creo que la UTPL deberia integrar ChatGPT de forma oficial en las clases de derecho,7/18/2026,2
TikTok,gracias a ChatGPT entiendo mejor los ejercicios de contabilidad que antes se me complicaban,7/11/2026,2
X,Gemini me ayudo a prepararme mejor para el examen de contabilidad,7/16/2026,2
X,usar Claude en ingles tecnico me ha ayudado muchisimo a entender mejor los temas dificiles,6/26/2026,2
TikTok,creo que la Universidad Tecnica de Ambato deberia integrar Copilot de forma oficial en las clases de estadistica,7/21/2026,2
X,creo que la Universidad de las Fuerzas Armadas deberia integrar Gemini de forma oficial en las clases de enfermeria,7/6/2026,2
Facebook,ChatGPT me ayudo a prepararme mejor para el examen de enfermeria,7/28/2026,2
Facebook,aprender a usar bien los chatbots de ia deberia ser parte del pensum en la Universidad de Cuenca,7/31/2026,2
TikTok,creo que la Universidad Nacional de Loja deberia integrar Gemini de forma oficial en las clases de bases de datos,7/2/2026,2
Facebook,gracias a estas herramientas de ia pude terminar mi proyecto de contabilidad a tiempo y aprendiendo en el proceso,7/22/2026,2
Facebook,usar Copilot en derecho me ha ayudado muchisimo a entender mejor los temas dificiles,7/24/2026,2
Facebook,deberian ensenarnos a usar los chatbots de ia de forma etica en vez de prohibirla en la Universidad de las Fuerzas Armadas,7/25/2026,2
TikTok,el que rechaza DeepSeek de plano se esta quedando atras en mineria de datos,7/16/2026,2
TikTok,gracias a DeepSeek pude terminar mi proyecto de medicina a tiempo y aprendiendo en el proceso,7/26/2026,2
